blockchain,creator,address,tag_name,tag_type,start_date,end_date
ethereum,jacktheguy,0x25F2226B597E8F9514B3F68F00f494cF4f286491,0x25F2226B597E8F9514B3F68F00f494cF4f286492,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0x4a49985B14bD0ce42c25eFde5d8c379a48AB02F3,0x4a49985B14bD0ce42c25eFde5d8c379a48AB02F4,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0x990daFE818681F8E18d14E2Ae7abD30aE46BF1c2,0x990daFE818681F8E18d14E2Ae7abD30aE46BF1c3,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,aavechan.eth,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,"aave.standard-crypto.eth
",Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0xdC1F98682F4F8a5c6d54F345F448437b83f5E432,"blockchaincolumbia.eth
",Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0x62a43123FE71f9764f26554b3F5017627996816a,"flipsidecrypto.eth
",Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0xB83b3e9C8E3393889Afb272D354A7a3Bd1Fbcf5C,lbsblockchain.eth,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138549,Aave Delegates,2022-01-17,null
ethereum,jacktheguy,0x55B16934C3661E1990939bC57322554d9B09f262,"delegate.IndexCoop
",Aave Delegates,2022-01-17,null
