blockchain,creator,address,tag_name,tag_type,start_date,end_date
ethereum,flipside,0xe4bbcbff51e61d0d95fcc5016609ac8354b177c4,steve aoki,influencer address,6/1/23,null
ethereum,flipside,0xce90a7949bb78892f159f428d0dc23a8e3584d75,snoop dogg,influencer address,6/1/23,null
ethereum,flipside,0xe0036fb4b5a3b232acfc01fec3bd1d787a93da75,snoop dogg,influencer address,6/1/23,null
ethereum,flipside,0x991091d5596484f3153ac8707c76ec79f6d353ed,zach hyman,influencer address,6/1/23,null
ethereum,flipside,0xff0bd4aa3496739d5667adc10e2b843dfab5712b,logan paul,influencer address,6/1/23,null
ethereum,flipside,0x0ed1e02164a2a9fad7a9f9b5b9e71694c3fad7f2,alexis ohanian,influencer address,6/1/23,null
ethereum,flipside,0xa0eaf6b0df87132c9a28e450a43c1d906defb60b,dj marshmellow,influencer address,6/1/23,null
ethereum,flipside,0xd6a984153acb6c9e2d788f08c2465a1358bb89a7,gary vaynerchuk,influencer address,6/1/23,null
ethereum,flipside,0xa679c6154b8d4619af9f83f0bf9a13a680e01ecf,mark cuban,influencer address,6/1/23,null
ethereum,flipside,0xe21dc18513e3e68a52f9fcdacfd56948d43a11c6,justin bieber,influencer address,6/1/23,null
ethereum,flipside,0xc4505db8cc490767fa6f4b6f0f2bdd668b357a5d,neymar jr.,influencer address,6/1/23,null
ethereum,flipside,0x7f90f772d4dafb54601dfa4d6022f2542a409c98,bill murray,influencer address,6/1/23,null
ethereum,flipside,0xc6b0562605d35ee710138402b878ffe6f2e23807,beeple,influencer address,6/1/23,null
ethereum,flipside,0xbea020c3bd417f30de4d6bd05b0ed310ac586cc0,post malone,influencer address,6/1/23,null
ethereum,flipside,0xee81a1bc1034b0906b132c98bed477b896b731da,the chainsmokers,influencer address,6/1/23,null
ethereum,flipside,0xc1064e3662b0718357e9050694a3bfeaabede8ab,lamelo ball,influencer address,6/1/23,null
ethereum,flipside,0xb6aa5a1aa37a4195725cdf1576dc741d359b56bd,paris hilton,influencer address,6/1/23,null
ethereum,flipside,0x3becf83939f34311b6bee143197872d877501b11,stephen curry,influencer address,6/1/23,null
ethereum,flipside,0x58473e9ac681c4424ca74619281ff71801d002d6,dillon francis,influencer address,6/1/23,null
ethereum,flipside,0x0394451c1238cec1e825229e692aa9e428c107d8,jimmy fallon,influencer address,6/1/23,null
ethereum,flipside,0xc86b12d850fdbbf3260a7baae862f85857aadbba,lil baby,influencer address,6/1/23,null
ethereum,flipside,0x31185f782a7c11044566d70dfcf1c8175486f451,gwyneth paltrow,influencer address,6/1/23,null
ethereum,flipside,0xbbdac7ba85af15420afd1f4aa3313c3535b15cde,kevin hart,influencer address,6/1/23,null
ethereum,flipside,0x0864224f3cc570ab909ebf619f7583ef4a50b826,serena williams,influencer address,6/1/23,null
ethereum,flipside,0x701895f6c6777bec3da9c2c052b7bf5d766791e2,serena williams,influencer address,6/1/23,null
ethereum,flipside,0x33560bb4e2c132346980890a04193616359a04dc,dave chapelle,influencer address,6/1/23,null
ethereum,flipside,0x1616b4c7cdb4093befbcca62f3198993327a8e9e,future,influencer address,6/1/23,null
ethereum,flipside,0x3b417faee9d2ff636701100891dc2755b5321cc3,jay z,influencer address,6/1/23,null
ethereum,flipside,0x7d4823262bd2c6e4fa78872f2587dda2a65828ed,faze banks,influencer address,6/1/23,null
ethereum,flipside,0x8ea95bdc5cdddc0b7ebad841f0c1f2ca6168b6a9,madonna,influencer address,6/1/23,null
ethereum,flipside,0x46316e182d560d6b8454946168e69484e2186e14,heidi klum,influencer address,6/1/23,null
ethereum,flipside,0x3a8db289e94465181e54353571fa7880857c0d87,martin garrix,influencer address,6/1/23,null
ethereum,flipside,0x79f261f483b7cef4f995c1f8a0f46f88450423e3,eminem,influencer address,6/1/23,null
ethereum,flipside,0x8d3bc45d7b30013c37c141f6ce7c981b2613efaa,ja rule,influencer address,6/1/23,null
ethereum,flipside,0xb55eb9bd32d6ab75d7555192e7a3a7ca0bcd5738,mike shinoda,influencer address,6/1/23,null
ethereum,flipside,0x3c6aeff92b4b35c2e1b196b57d0f8ffb56884a17,shaquille Oneal,influencer address,6/1/23,null
ethereum,flipside,0xfc811061134fa6ccfd22f56cc91bf6450bea2d01,jake paul,influencer address,6/1/23,null
ethereum,flipside,0xb9ea03e69e4983c4ab303cf3379864dc8fb9e462,kwebbelkop,influencer address,6/1/23,null
ethereum,flipside,0x66f21ffc3fa1fb2770426e3c5c209b83b375dcc3,mario gotze,influencer address,6/1/23,null
ethereum,flipside,0x7217bc604476859303a27f111b187526231a300c,mike tyson,influencer address,6/1/23,null
ethereum,flipside,0xaa1b056286a66a9e6752c26776ac034c662a51d5,eva longoria,influencer address,6/1/23,null
ethereum,flipside,0xadadfa4213cb8baaad1abe99c8a863a4d0a94cc5,tyrese haliburton,influencer address,6/1/23,null
ethereum,flipside,0x87badfcc6b5eb79acbd108d1208d82dc6a6d48ab,ksi olajidebt,influencer address,6/1/23,null
ethereum,flipside,0x3781d92e5449b5b689fee308ded44882085b6312,lindsay lohan,influencer address,6/1/23,null
